,mean,std,max,min
Jan,0.27228874647882195,0.10509026931323914,0.43989903,0.090586156
Feb,0.27833226745021716,0.113933207707156,0.45902967,0.080980174
Mar,0.28045424481125186,0.11963696788891943,0.4678289,0.071665384
Apr,0.2791708287255071,0.12464119764927452,0.47347623,0.06219044
May,0.24880601207283862,0.11497242270547954,0.43701825,0.046644464
Jun,0.19784439334819634,0.08735148114990673,0.34917825,0.0415661
Jul,0.15121842883585995,0.060128073640701024,0.2507691,0.039832197
Aug,0.1315597631914273,0.04918563898540102,0.20424813,0.039638966
Sep,0.12775124141602714,0.04804247100992467,0.19814959,0.040426176
Oct,0.14120377556856578,0.05253658756555176,0.21995687,0.046117768
Nov,0.1946068545514218,0.06758816765029359,0.30261457,0.0731478
Dec,0.2483266590549218,0.09265055046272629,0.3986035,0.08589383
